Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	250	250	250	250	250	250	250	1024
2	750	750	750	750	750	750	750	1024
3	1875	1875	1875	1875	1875	1875	1875	1024
4	3938	3938	3938	3938	3938	3938	3938	1024
5	7088	7088	7088	7088	7088	7088	7088	1024
6	11340	11340	11340	11340	11340	11340	11340	1024
7	16443	16443	16443	16443	16443	16443	16443	1024
8	22198	22198	22198	22198	22198	22198	22198	1024
9	28858	28858	28858	28858	28858	28858	28858	1024
10	36072	36072	36072	36072	36072	36072	36072	1024
11	45090	45090	45090	45090	45090	45090	45090	1024
12	56363	56363	56363	56363	56363	56363	56363	1024
13	70453	70453	70453	70453	70453	70453	70453	1024
14	88066	88066	88066	88066	88066	88066	88066	1024
15	110083	110083	110083	110083	110083	110083	110083	1024
16	137604	137604	137604	137604	137604	137604	137604	1024
17	172004	172004	172004	172004	172004	172004	172004	1024
18	215005	215005	215005	215005	215005	215005	215005	1024
19	268757	268757	268757	268757	268757	268757	268757	1024
20	335946	335946	335946	335946	335946	335946	335946	1024
21	419932	419932	419932	419932	419932	419932	419932	1024
22	524915	524915	524915	524915	524915	524915	524915	1024
23	656144	656144	656144	656144	656144	656144	656144	1024
24	820180	820180	820180	820180	820180	820180	820180	1024
25	1025225	1025225	1025225	1025225	1025225	1025225	1025225	1024
26	1281531	1281531	1281531	1281531	1281531	1281531	1281531	1024
27	1601913	1601913	1601913	1601913	1601913	1601913	1601913	1024
28	1951130	1951130	1951130	1951130	1951130	1951130	1951130	1024
29	2331777	2331777	2331777	2331777	2331777	2331777	2331777	1024
30	2746682	2746682	2746682	2746682	2746682	2746682	2746682	1024
31	3198928	3198928	3198928	3198928	3198928	3198928	3198928	1024
32	3691876	3691876	3691876	3691876	3691876	3691876	3691876	1024
33	4229190	4229190	4229190	4229190	4229190	4229190	4229190	1024
34	4814862	4814862	4814862	4814862	4814862	4814862	4814862	1024
35	5453244	5453244	5453244	5453244	5453244	5453244	5453244	1024
36	6149081	6149081	6149081	6149081	6149081	6149081	6149081	1024
37	6907543	6907543	6907543	6907543	6907543	6907543	6907543	1024
