Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1
1	13	207	330	13	243	390	18	243	486	18	243	486	12	180	1401	12	180	1867	3	4	7	1	3	6	30	78	117	30	78	117
2	27	229	364	27	270	427	27	283	571	27	283	571	15	192	1437	15	192	1917	4	7	12	3	4	9	40	104	156	40	104	156
3	40	252	399	40	297	468	40	324	657	40	324	657	21	202	1476	21	202	1968	4	7	12	3	4	10	50	131	197	50	131	197
4	54	274	432	54	324	508	58	364	742	58	364	742	24	211	1515	24	211	2019	7	10	13	6	9	12	60	156	234	60	156	234
5	67	300	465	67	351	546	78	405	828	78	405	828	30	222	1552	30	222	2070	7	10	13	6	9	12	70	182	273	70	182	273
6	81	321	499	81	378	588	102	445	913	102	445	913	33	234	1590	33	234	2119	10	13	19	9	12	18	80	207	311	80	207	311
7	94	345	531	94	405	625	126	486	999	126	486	999	39	246	1629	39	246	2172	10	13	19	9	12	18	90	234	351	90	234	351
8	108	366	567	108	432	666	150	526	1084	150	526	1084	45	256	1665	45	256	2220	12	16	22	10	15	21	100	260	390	100	260	390
9	121	390	600	121	459	706	175	567	1170	175	567	1170	51	265	1704	51	265	2272	13	19	28	12	18	27	110	285	428	110	285	428
10	135	414	633	135	486	744	201	607	1255	201	607	1255	58	276	1741	58	276	2322	13	19	28	12	18	27	120	312	468	120	312	468
11	148	436	669	148	513	786	225	648	1341	225	648	1341	60	288	1779	60	288	2373	16	22	31	15	21	30	130	338	507	130	338	507
12	162	459	699	162	540	823	249	688	1426	249	688	1426	67	300	1818	67	300	2424	16	22	31	15	21	30	140	363	545	140	363	545
13	175	481	733	175	567	864	274	729	1512	274	729	1512	75	310	1857	75	310	2475	19	25	37	18	24	36	154	401	602	154	401	602
14	189	504	769	189	594	904	300	769	1597	300	769	1597	81	319	1893	81	319	2524	21	28	40	19	27	39	169	440	660	169	440	660
15	202	528	801	202	621	942	324	810	1683	324	810	1683	87	330	1932	87	330	2577	21	28	40	19	27	39	186	482	723	186	482	723
16	216	552	834	216	648	984	348	850	1768	348	850	1768	94	342	1968	94	342	2625	22	31	43	21	30	42	205	533	800	205	533	800
17	229	573	868	229	675	1021	373	891	1854	373	891	1854	102	354	2008	102	354	2677	22	31	43	21	30	42	225	584	876	225	584	876
18	243	597	903	243	702	1062	399	931	1939	399	931	1939	108	364	2046	108	364	2727	25	34	48	24	33	46	248	644	966	248	644	966
19	256	618	939	256	729	1102	423	972	2025	423	972	2025	114	373	2083	114	373	2778	28	37	52	27	36	51	273	708	1062	273	708	1062
20	270	643	969	270	756	1140	447	1012	2110	447	1012	2110	123	384	2121	123	384	2829	28	37	52	27	36	51	300	779	1169	300	779	1169
21	283	666	1003	283	783	1182	472	1053	2196	472	1053	2196	132	399	2160	132	399	2880	30	40	57	28	39	55	330	857	1286	330	857	1286
22	297	688	1038	297	810	1219	498	1093	2281	498	1093	2281	141	409	2197	141	409	2929	30	40	57	28	39	55	363	942	1413	363	942	1413
23	310	711	1071	310	837	1260	522	1134	2367	522	1134	2367	150	418	2236	150	418	2982	31	43	61	30	42	60	399	1035	1553	399	1035	1553
24	324	733	1104	324	864	1300	546	1174	2452	546	1174	2452	159	429	2272	159	429	3030	34	46	66	33	45	64	439	1139	1709	439	1139	1709
25	337	759	1138	337	891	1338	571	1215	2538	571	1215	2538	168	441	2311	168	441	3082	34	46	66	33	45	64	470	1220	1830	470	1220	1830
26	351	780	1173	351	918	1380	597	1255	2623	597	1255	2623	178	453	2349	178	453	3132	37	49	67	36	48	66	503	1305	1958	503	1305	1958
